iter	Passed	Remaining
0	0	436
1	0	419
2	1	400
3	1	397
4	1	392
5	2	391
6	2	389
7	3	390
8	3	397
9	4	396
10	4	393
11	4	403
12	5	409
13	5	417
14	6	421
15	6	419
16	7	416
17	7	415
18	7	412
19	8	409
20	8	406
21	9	404
22	9	402
23	9	400
24	10	398
25	10	398
26	10	395
27	11	393
28	11	393
29	12	391
30	12	390
31	12	389
32	13	390
33	13	389
34	14	388
35	14	388
36	14	388
37	15	386
38	15	385
39	16	384
40	16	384
41	16	383
42	17	382
43	17	382
44	17	381
45	18	380
46	18	379
47	19	378
48	19	378
49	19	377
50	20	376
51	20	375
52	20	374
53	21	373
54	21	373
55	22	372
56	22	371
57	22	371
58	23	370
59	23	369
60	23	369
61	24	368
62	24	367
63	25	366
64	25	366
65	25	365
66	26	365
67	26	364
68	26	363
69	27	364
70	27	363
71	28	363
72	28	362
73	29	363
74	29	362
75	29	363
76	30	362
77	30	362
78	31	363
79	31	363
80	32	363
81	32	363
82	32	361
83	33	362
84	33	362
85	34	362
86	34	363
87	35	363
88	35	363
89	36	364
90	36	364
91	36	365
92	37	365
93	37	366
94	38	366
95	38	366
96	39	367
97	39	367
98	40	367
99	40	367
100	41	366
101	41	366
102	42	366
103	42	366
104	43	367
105	43	367
106	44	367
107	44	367
108	45	368
109	45	368
110	46	369
111	46	369
112	47	369
113	47	369
114	47	369
115	48	369
116	48	368
117	49	370
118	49	370
119	50	370
120	50	370
121	51	369
122	51	369
123	52	369
124	52	369
125	53	368
126	53	366
127	53	365
128	54	365
129	54	364
130	54	362
131	55	362
132	55	361
133	55	360
134	56	359
135	56	358
136	56	358
137	57	359
138	57	358
139	58	357
140	58	357
141	58	356
142	59	356
143	59	356
144	60	355
145	60	354
146	60	353
147	61	352
148	61	351
149	61	350
150	62	353
151	63	352
152	63	351
153	63	351
154	64	350
155	64	349
156	64	348
157	65	347
158	65	349
159	66	348
160	66	346
161	66	345
162	67	344
163	67	344
164	67	343
165	68	342
166	68	341
167	69	342
168	69	341
169	69	340
170	70	340
171	70	340
172	70	339
173	71	338
174	71	339
175	72	338
176	72	337
177	72	336
178	73	335
179	73	336
180	74	336
181	74	337
182	75	337
183	75	336
184	76	336
185	77	337
186	77	337
187	78	337
188	78	337
189	79	337
190	79	337
191	80	337
192	80	337
193	81	337
194	82	338
195	82	338
196	82	338
197	83	338
198	83	337
199	84	339
200	85	339
201	85	339
202	86	339
203	86	338
204	88	341
205	88	342
206	91	348
207	91	348
208	91	347
209	92	346
210	92	346
211	92	345
212	94	347
213	94	347
214	94	346
215	95	346
216	95	345
217	96	344
218	96	343
219	96	343
220	97	342
221	97	342
222	97	341
223	98	340
224	98	339
225	99	339
226	99	338
227	99	338
228	100	337
229	100	337
230	101	336
231	101	336
232	102	336
233	102	335
234	102	334
235	103	334
236	103	333
237	104	333
238	104	332
239	104	331
240	105	331
241	105	330
242	106	330
243	106	329
244	106	329
245	107	329
246	107	328
247	108	328
248	108	327
249	109	327
250	109	326
251	109	325
252	110	325
253	110	325
254	111	324
255	111	323
256	111	323
257	112	322
258	112	322
259	113	321
260	113	321
261	113	320
262	114	320
263	114	319
264	114	318
265	115	318
266	115	318
267	116	317
268	116	317
269	117	316
270	117	315
271	117	315
272	118	314
273	118	314
274	119	313
275	119	313
276	119	312
277	120	312
278	120	312
279	123	317
280	123	316
281	124	316
282	125	317
283	125	317
284	126	316
285	126	316
286	128	319
287	128	318
288	129	318
289	129	317
290	130	317
291	130	316
292	130	316
293	131	315
294	131	315
295	132	314
296	132	313
297	132	313
298	133	312
299	135	316
300	135	315
301	136	314
302	136	314
303	137	313
304	137	313
305	138	313
306	138	312
307	138	311
308	139	311
309	141	315
310	142	315
311	142	315
312	143	314
313	143	314
314	144	313
315	144	313
316	145	312
317	145	312
318	146	311
319	146	311
320	146	310
321	147	310
322	149	312
323	149	311
324	149	311
325	150	310
326	152	314
327	153	313
328	153	313
329	154	312
330	154	312
331	155	311
332	155	311
333	156	311
334	156	310
335	156	310
336	157	309
337	157	309
338	158	308
339	158	308
340	159	307
341	159	306
342	160	306
343	162	310
344	163	309
345	163	309
346	164	308
347	164	308
348	165	308
349	165	308
350	166	307
351	166	307
352	167	306
353	167	306
354	168	305
355	168	305
356	169	304
357	169	304
358	169	303
359	170	302
360	170	302
361	171	301
362	171	301
363	172	300
364	172	300
365	173	299
366	173	299
367	174	299
368	174	298
369	175	298
370	175	297
371	176	297
372	176	296
373	176	296
374	177	295
375	177	295
376	178	294
377	178	294
378	179	293
379	179	292
380	179	292
381	180	291
382	180	291
383	181	290
384	181	290
385	182	289
386	183	289
387	183	289
388	183	289
389	184	288
390	184	288
391	185	287
392	185	286
393	186	286
394	186	285
395	187	285
396	187	284
397	187	284
398	188	283
399	188	283
400	189	282
401	190	282
402	191	283
403	192	283
404	193	283
405	194	283
406	194	283
407	195	282
408	195	282
409	196	282
410	197	282
411	197	282
412	198	281
413	199	282
414	200	281
415	200	281
416	201	281
417	201	280
418	202	280
419	204	282
420	204	281
421	205	281
422	205	280
423	206	280
424	206	279
425	207	279
426	207	278
427	208	278
428	208	277
429	208	276
430	209	276
431	209	275
432	209	274
433	210	274
434	210	273
435	210	272
436	211	272
437	215	276
438	215	275
439	217	276
440	217	275
441	218	275
442	218	274
443	221	277
444	221	276
445	222	276
446	222	275
447	223	274
448	223	274
449	223	273
450	224	273
451	224	272
452	225	271
453	225	271
454	225	270
455	226	269
456	226	269
457	227	268
458	227	268
459	227	267
460	228	266
461	228	266
462	229	265
463	229	265
464	229	264
465	230	263
466	230	263
467	231	262
